# TileOPs Benchmark Report
Generated: 2026-08-12 00:06:28

## Environment

- **Torch version**: 2.10.0+cu129
- **CUDA version (torch)**: 12.9
- **GPU model**: NVIDIA H200
- **Driver version**: 595.71.05
- **GPU clocks**: SM current 1500 MHz, memory current 3201 MHz, application SM [Requested functionality has been deprecated] MHz, application memory [Requested functionality has been deprecated] MHz

## GatedDeltaNetPrefillFwdOp

### tileops

| batch | heads | seq_len | dim_k | dim_v | chunk_size | layout | dtype | latency_ms | tflops | bandwidth_tbs | n_samples | latency_p10_ms | latency_p90_ms | timing | speedup_vs_fla | config |
| 1 | 16 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 7.1703 | 38.3355 | 0.3756 | 14.0000 | 6.8976 | 7.6743 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 4.6992 | 29.2472 | 0.2867 | 35.0000 | 2.7591 | 6.2441 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 4.8728 | 28.2054 | 0.2765 | 35.0000 | 2.7606 | 6.5962 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 5.9824 | 45.9476 | 0.4503 | 18.0000 | 5.4338 | 6.3747 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.7193 | 48.0613 | 0.4710 | 18.0000 | 5.4362 | 6.3412 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 10.8492 | 50.6725 | 0.4965 | 10.0000 | 10.8269 | 10.9172 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 10.8477 | 50.6796 | 0.4966 | 10.0000 | 10.8241 | 10.9488 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 5.3771 | 38.3399 | 0.3759 | 24.0000 | 4.0153 | 7.4428 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.6451 | 36.5199 | 0.3580 | 24.0000 | 4.0256 | 7.7723 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 7.9939 | 51.5787 | 0.5055 | 12.0000 | 7.9795 | 8.5883 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 8.0165 | 51.4334 | 0.5040 | 12.0000 | 8.0094 | 8.3067 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 15.9455 | 51.7158 | 0.5067 | 10.0000 | 15.9250 | 15.9697 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 15.9728 | 51.6274 | 0.5058 | 10.0000 | 15.9564 | 16.0031 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 64 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 4.9446 | 55.5917 | 0.5450 | 20.0000 | 4.8948 | 5.6665 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.0948 | 53.9529 | 0.5289 | 20.0000 | 4.9061 | 5.6048 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 9.8137 | 56.0193 | 0.5490 | 10.0000 | 9.8053 | 9.8510 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 9.8499 | 55.8132 | 0.5470 | 10.0000 | 9.8420 | 9.9438 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 19.6366 | 55.9929 | 0.5486 | 10.0000 | 19.6199 | 19.6644 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 19.6789 | 55.8725 | 0.5474 | 10.0000 | 19.6683 | 19.7126 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
