# TileOPs Benchmark Report
Generated: 2026-08-12 05:18:32

## Environment

- **Torch version**: 2.13.0+cu132
- **CUDA version (torch)**: 13.2
- **GPU model**: NVIDIA H200
- **Driver version**: 595.71.05
- **GPU clocks**: SM current 1965 MHz, memory current 3201 MHz, application SM [Requested functionality has been deprecated] MHz, application memory [Requested functionality has been deprecated] MHz

## GatedDeltaNetPrefillFwdOp

### tileops

| batch | heads | seq_len | dim_k | dim_v | chunk_size | layout | dtype | latency_ms | tflops | bandwidth_tbs | n_samples | latency_p10_ms | latency_p90_ms | timing | speedup_vs_fla | config |
| 1 | 16 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 1.7206 | 39.9402 | 0.3916 | 72.0000 | 1.3930 | 4.0968 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 1.7007 | 40.4064 | 0.3961 | 72.0000 | 1.3439 | 4.1623 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 2.6112 | 52.6346 | 0.5158 | 38.0000 | 2.5476 | 4.8315 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.6858 | 51.1719 | 0.5015 | 38.0000 | 2.5470 | 4.8640 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 5.0157 | 54.8031 | 0.5370 | 18.0000 | 5.0014 | 5.7144 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.0055 | 54.9150 | 0.5381 | 18.0000 | 4.9825 | 6.4959 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 2.2653 | 60.6722 | 0.5948 | 48.0000 | 1.9764 | 5.2423 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.3132 | 59.4158 | 0.5825 | 48.0000 | 1.9803 | 5.0218 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 3.8938 | 70.5931 | 0.6918 | 24.0000 | 3.8876 | 5.6087 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 3.9119 | 70.2669 | 0.6886 | 24.0000 | 3.9016 | 5.0660 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
